laureate_id,awardYear,category,prize,motivation,portion,laureate_type,full_Name,gender,birth_city,birth_country,birth_continent,organization_name,organization_city,organization_country,death_city,death_country,iso_alpha,birth_date_datetime,death_date_datetime,years_lived,dateAwarded_datetime,laureates_age_receiving_prize,decade,US_born_laureates,female_laureates,chemistry_category,physics_category,Literature_category,Peace_category,Physiology or Medicine,
585,775,2004,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2004,for their discoveries of odorant receptors and the organization of the olfactory system,01-Feb,Individual,Linda B. Buck,female,"Seattle, WA",USA,North America,Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,,,USA,29-01-1947,,,04-10-2004,58,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
586,217,1954,Chemistry,The Nobel Prize in Chemistry 1954,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,1,Individual,Linus Carl Pauling,male,"Portland, OR",USA,North America,California Institute of Technology (Caltech),"Pasadena, CA",USA,"Big Sur, CA",USA,USA,28-02-1901,19-08-1994,93,03-11-1954,54,1950,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
587,855,2010,Peace,The Nobel Peace Prize 2010,for his long and non-violent struggle for fundamental human rights in China,1,Individual,Liu Xiaobo,male,Changchun,China,Asia,,,,Shenyang,China,CHN,28-12-1955,13-07-2017,62,08-10-2010,55,2010,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
588,883,2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2012,for the theory of stable allocations and the practice of market design,01-Feb,Individual,Lloyd S. Shapley,male,"Cambridge, MA",USA,North America,University of California,"Los Angeles, CA",USA,"Tucson, AZ",USA,USA,02-06-1923,12-03-2016,93,15-10-2012,89,2010,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
589,510,1949,Peace,The Nobel Peace Prize 1949,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",1,Individual,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",male,Kilmaurs,Scotland,Europe,,,,Edzell,Scotland,,1880-09-23,25-06-1971,91,12-10-1949,69,1940,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
590,8,1904,Physics,The Nobel Prize in Physics 1904,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1,Individual,Lord Rayleigh (John William Strutt),male,"Langford Grove, Maldon, Essex",United Kingdom,Europe,Royal Institution of Great Britain,London,United Kingdom,,United Kingdom,GBR,1842-11-12,30-06-1919,77,08-11-1904,62,1900,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
591,221,1957,Chemistry,The Nobel Prize in Chemistry 1957,for his work on nucleotides and nucleotide co-enzymes,1,Individual,Lord (Alexander R.) Todd,male,Glasgow,Scotland,Europe,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,,02-10-1907,10-01-1997,89,31-10-1957,50,1950,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
592,1030,2023,Chemistry,The Nobel Prize in Chemistry 2023,for the discovery and synthesis of quantum dots,01-Mar,Individual,Louis E. Brus,male,"Cleveland, OH",USA,North America,Columbia University,"New York, NY",USA,,,USA,01-01-1943,,,04-10-2023,81,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
593,36,1929,Physics,The Nobel Prize in Physics 1929,for his discovery of the wave nature of electrons,1,Individual,Prince Louis-Victor Pierre Raymond de Broglie,male,Dieppe,France,Europe,"Sorbonne University, Institut Henri Poincaré",Paris,France,Paris,France,FRA,1892-08-15,19-03-1987,95,12-11-1929,37,1920,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
594,459,1998,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1998,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,01-Mar,Individual,Louis J. Ignarro,male,"Brooklyn, NY",USA,North America,University of California School of Medicine,"Los Angeles, CA",USA,,,USA,31-05-1941,,,12-10-1998,57,1990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
595,92,1970,Physics,The Nobel Prize in Physics 1970,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,01-Feb,Individual,Louis Eugène Félix Néel,male,Lyon,France,Europe,University of Grenoble,Grenoble,France,Brive-Corrèze,France,FRA,22-11-1904,17-11-2000,96,27-10-1970,66,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
596,472,1907,Peace,The Nobel Peace Prize 1907,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,01-Feb,Individual,Louis Renault,male,Autun,France,Europe,Sorbonne University,Paris,France,Barbizon,France,FRA,1843-05-21,08-02-1918,75,10-12-1907,65,1900,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
597,993,2020,Literature,The Nobel Prize in Literature 2020,for her unmistakable poetic voice that with austere beauty makes individual existence universal,1,Individual,Louise Glück,female,"New York, NY",USA,North America,,,,"Cambridge, MA",USA,USA,22-04-1943,13-10-2023,80,08-10-2020,77,2020,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
598,825,2008,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2008,for their discovery of human immunodeficiency virus,01-Apr,Individual,Luc Montagnier,male,Chabris,France,Europe,World Foundation for AIDS Research and Prevention,Paris,France,Paris,France,FRA,18-08-1932,08-02-2022,89,06-10-2008,76,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
